Date,Open,High,Low,Close,Adj Close,Volume
2021-06-02,691.181030,715.109741,675.876282,697.912964,697.912964,2085428216
2021-06-03,698.243652,734.995300,689.205811,718.448181,718.448181,2286280619
2021-06-04,719.245605,719.537415,645.658264,671.139160,671.139160,2533308529
2021-06-05,671.631226,688.890259,636.732056,649.438354,649.438354,2116275969
2021-06-06,649.761841,669.594238,646.399536,657.495728,657.495728,1506122550
2021-06-07,656.870972,670.224487,594.236023,596.077881,596.077881,1905638841
2021-06-08,596.839417,604.398865,545.180847,597.092285,597.092285,2877121838
2021-06-09,596.090210,634.634521,567.780212,633.143494,633.143494,2424388228
2021-06-10,633.947144,638.723938,591.910156,602.846130,602.846130,1940156625
2021-06-11,602.611633,611.405029,571.809998,578.271545,578.271545,1715350886
2021-06-12,578.750305,589.978699,549.895691,580.533142,580.533142,1786736797
2021-06-13,580.489624,615.134399,560.099854,614.354919,614.354919,1578903640
2021-06-14,613.849426,640.246338,600.449646,625.369507,625.369507,1552154786
2021-06-15,637.448914,649.899475,617.982422,639.204590,639.204590,1736113953
2021-06-16,628.063171,628.063171,591.179321,593.046631,593.046631,1629936616
2021-06-17,593.291138,620.491638,585.654236,599.357910,599.357910,1426459812
2021-06-18,599.703552,599.703552,546.919189,563.286804,563.286804,1642573263
2021-06-19,563.976379,581.627747,553.480774,554.896729,554.896729,1287962730
2021-06-20,553.901917,561.105042,516.160339,557.529602,557.529602,1468001206
2021-06-21,556.513123,559.435303,455.375183,456.293457,456.293457,2170476053
2021-06-22,455.737396,476.146393,390.002350,443.783264,443.783264,2651277002
2021-06-23,444.243347,485.892639,430.044800,469.375641,469.375641,1925034930
2021-06-24,473.377472,495.958008,457.011658,486.207886,486.207886,1423583436
2021-06-25,487.115601,496.776855,450.064270,451.918152,451.918152,1625824115
2021-06-26,450.744568,463.964294,429.425537,458.776184,458.776184,1549850152
2021-06-27,459.337433,477.916931,447.867401,476.887299,476.887299,1445433765
2021-06-28,477.548187,516.450745,473.368103,500.670563,500.670563,1466070100
2021-06-29,501.242767,546.615112,500.387634,522.271362,522.271362,1747410969
2021-06-30,523.698120,533.682312,499.342621,526.295837,526.295837,1693524407
2021-07-01,526.420227,526.420227,487.296112,498.193573,498.193573,1766801086
2021-07-02,496.732788,503.970154,476.852844,496.349762,496.349762,1204691392
2021-07-03,496.156158,514.319946,489.528564,505.319977,505.319977,1158357445
2021-07-04,505.223785,539.774963,495.925415,526.429688,526.429688,1413797953
2021-07-05,526.767578,526.864868,490.624237,505.055450,505.055450,1522255823
2021-07-06,504.818329,525.485352,500.918182,511.667114,511.667114,1393837450
2021-07-07,511.526672,537.083069,505.756989,508.864532,508.864532,1584424878
2021-07-08,509.715057,510.511963,481.032318,490.991058,490.991058,1592605743
2021-07-09,490.351379,509.754456,472.187561,504.062988,504.062988,1339952027
2021-07-10,504.268341,510.884277,485.472382,497.499969,497.499969,1170722352
2021-07-11,497.219330,503.638763,490.328613,498.213715,498.213715,1157460252
2021-07-12,498.379761,508.206818,472.292297,480.844757,480.844757,1336050112
2021-07-13,480.567383,484.797211,460.944153,465.414917,465.414917,1075661865
2021-07-14,465.613281,477.846924,445.821594,467.726837,467.726837,1264474725
2021-07-15,467.758942,473.823578,445.177826,454.633606,454.633606,1424146487
2021-07-16,455.222443,464.465576,438.401337,439.782776,439.782776,1359916782
2021-07-17,439.214966,446.899536,432.394440,437.037598,437.037598,1235721953
2021-07-18,437.084808,453.049225,434.542114,439.650604,439.650604,1210002751
2021-07-19,439.108551,442.235504,414.677856,415.691406,415.691406,1131995857
2021-07-20,415.886780,422.005219,386.144745,399.570984,399.570984,1262285193
2021-07-21,399.277161,435.894012,393.375885,430.435516,430.435516,1201512019
2021-07-22,430.947815,445.672028,425.517822,442.822571,442.822571,1052930154
2021-07-23,442.969910,456.428619,432.898621,455.783173,455.783173,1029413293
2021-07-24,455.617310,464.919281,451.868011,460.147278,460.147278,999410253
2021-07-25,460.077850,460.636810,442.864716,456.024658,456.024658,1073715842
2021-07-26,456.148438,517.581421,454.794312,482.883301,482.883301,2193059616
2021-07-27,482.184601,504.269043,468.754761,502.295166,502.295166,2011970102
2021-07-28,502.956848,518.853027,492.150970,510.144501,510.144501,2185235852
2021-07-29,511.289032,546.471130,500.830017,538.303162,538.303162,2034974540
2021-07-30,538.491821,553.026733,519.206909,552.738708,552.738708,1984238398
2021-07-31,552.595398,556.788025,537.751404,547.803284,547.803284,1666655419
2021-08-01,546.724060,562.942810,520.366394,527.841614,527.841614,1984049270
2021-08-02,526.871399,564.804382,521.313354,543.988464,543.988464,2135592385
2021-08-03,543.649048,551.337769,523.527771,536.993713,536.993713,1987312144
2021-08-04,537.426086,550.724304,525.524353,545.966003,545.966003,1831281602
2021-08-05,545.665771,550.510376,524.000732,548.598145,548.598145,2062386765
2021-08-06,548.542419,560.555542,537.662170,556.442932,556.442932,2137867461
2021-08-07,557.094788,589.750366,554.256531,583.125732,583.125732,2381262602
2021-08-08,583.760681,589.005249,555.291809,556.096313,556.096313,2176765949
2021-08-09,556.173279,600.419617,544.186035,592.488831,592.488831,2159473227
2021-08-10,592.031555,606.206787,574.529846,592.383850,592.383850,2207047184
2021-08-11,592.408386,632.229065,591.054199,621.185120,621.185120,2506001502
2021-08-12,621.047791,648.224121,593.172363,605.007507,605.007507,2504663932
2021-08-13,606.106140,654.262390,602.120422,653.958496,653.958496,2308779003
2021-08-14,654.299011,689.596069,644.816711,689.114868,689.114868,2487216105
2021-08-15,691.156006,707.398010,673.836914,703.186340,703.186340,2770993903
2021-08-16,703.246704,713.665283,673.826111,675.854553,675.854553,2672034530
2021-08-17,673.810242,689.809387,638.125793,638.801270,638.801270,2753953258
2021-08-18,638.646484,653.604248,622.050354,634.432861,634.432861,2747890861
2021-08-19,633.218933,658.888306,620.068909,658.888306,658.888306,2852343347
2021-08-20,658.789429,699.127808,652.893005,693.681641,693.681641,3133794878
2021-08-21,693.825073,699.630615,671.624451,676.063416,676.063416,2947054369
2021-08-22,676.214294,688.953125,654.298889,672.618286,672.618286,2480660732
2021-08-23,672.672363,693.478088,664.519531,677.710327,677.710327,3007106551
2021-08-24,678.652283,682.637390,635.879272,637.405273,637.405273,2690364538
2021-08-25,637.760315,657.545288,628.358032,649.314514,649.314514,3075170891
